CVE_ENTIDAD,ENTIDAD,CVE_MUNICIPIO,MUNICIPIO,CVE_LOCALIDAD,LOCALIDAD,INSTITUCION,NOMBRE_INSTITUCION,ESCUELA,NOMBRE_ESCUELA,CV_CONTROL,CONTROL,CV_SUBCONTROL,C_SUBCONTROL,ESC_POS_ESC,ALUM_POS_ESC,POS_HOMBRES_ESC,POS_MUJERES_ESC,NI_POS_TOTALES_ESC,NI_POS_HOMBRES_ESC,NI_POS_MUJERES_ESC,EGRE_POS_TOTAL_ESC,EGRE_POS_HOMBRES_ESC,EGRE_POS_MUJERES_ESC,TITU_POS_TOTAL_ESC,TITU_POS_HOMBRES_ESC,TITU_POS_MUJERES_ESC
28,TAMAULIPAS,38,TAMPICO,1,TAMPICO,28MSU1200Z,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO CAMPUS REYNOSA,28PSU0159Q,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO CAMPUS TAMPICO,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,25,MIGUEL ALEMÁN,15,LOS GUERRA,28MSU1220N,UNIVERSIDAD POLITECNICA DE LA REGION RIBEREÑA,28EPO0003B,UNIVERSIDAD POLITECNICA DE LA REGION RIBEREÑA,1,PÚBLICO,2,ESTATAL,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,22,MATAMOROS,1,HEROICA MATAMOROS,28MSU1230U,UNIVERSIDAD NUEVO SANTANDER,28PSU0120E,UNIVERSIDAD NUEVO SANTANDER,2,PRIVADO,1,PRIVADO,1,24,9,15,10,4,6,17,8,9,11,7,4
28,TAMAULIPAS,38,TAMPICO,1,TAMPICO,28MSU1240A,INSTITUTO UNIVERSITARIO DE TAMAULIPAS,28PSU0122C,INSTITUTO UNIVERSITARIO DE TAMAULIPAS,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,38,TAMPICO,1,TAMPICO,28MSU1260O,"UNIVERSIDAD CULTURAL METROPOLITANA, A.C.",28PSU0124A,"UNIVERSIDAD CULTURAL METROPOLITANA, A.C.",2,PRIVADO,1,PRIVADO,1,200,53,147,50,10,40,49,11,38,38,9,29
28,TAMAULIPAS,27,NUEVO LAREDO,1,NUEVO LAREDO,28MSU1270V,UNIVERSIDAD DEL NORTE DE TAMAULIPAS,28PSU0125Z,UNIVERSIDAD DEL NORTE DE TAMAULIPAS,2,PRIVADO,1,PRIVADO,1,282,128,154,77,38,39,86,39,47,86,39,47
28,TAMAULIPAS,32,REYNOSA,1,REYNOSA,28MSU1270V,UNIVERSIDAD DEL NORTE DE TAMAULIPAS,28PSU0130L,UNIVERSIDAD DEL NORTE DE TAMAULIPAS,2,PRIVADO,1,PRIVADO,1,321,172,149,184,105,79,34,15,19,34,15,19
28,TAMAULIPAS,41,VICTORIA,1,CIUDAD VICTORIA,28MSU1270V,UNIVERSIDAD DEL NORTE DE TAMAULIPAS,28PSU0131K,UNIVERSIDAD DEL NORTE DE TAMAULIPAS,2,PRIVADO,1,PRIVADO,1,300,141,159,98,54,44,28,12,16,28,12,16
28,TAMAULIPAS,3,ALTAMIRA,1,ALTAMIRA,28MSU1270V,UNIVERSIDAD DEL NORTE DE TAMAULIPAS,28PSU0143P,UNIVERSIDAD DEL NORTE DE TAMAULIPAS,2,PRIVADO,1,PRIVADO,1,95,55,40,63,34,29,13,4,9,13,4,9
28,TAMAULIPAS,21,EL MANTE,1,CIUDAD MANTE,28MSU1300Z,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,28PSU0132J,UNIVERSIDAD DEL DESARROLLO PROFESIONAL PLANTEL CD. MANTE,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,3,ALTAMIRA,1,ALTAMIRA,28MSU1300Z,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,28PSU0252W,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,41,VICTORIA,1,CIUDAD VICTORIA,28MSU1320M,ESCUELA LIBRE DE DERECHO DE CIUDAD VICTORIA,28PSU0129W,ESCUELA LIBRE DE DERECHO DE CIUDAD VICTORIA,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,37,SOTO LA MARINA,131,LA PESCA,28MSU1330T,UNIVERSIDAD TECNOLOGICA DEL MAR DE TAMAULIPAS BICENTENARIO,28EUT0005X,UNIVERSIDAD TECNOLOGICA DEL MAR DE TAMAULIPAS BICENTENARIO,1,PÚBLICO,2,ESTATAL,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,22,MATAMOROS,1,HEROICA MATAMOROS,28MSU1340Z,INSTITUTO DE ESTUDIOS SUPERIORES ANTONIO CASO,28PSU0133I,INSTITUTO DE ESTUDIOS SUPERIORES ANTONIO CASO,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TAMAULIPAS,41,VICTORIA,1,CIUDAD VICTORIA,28MSU1350G,INSTITUTO VICTORENSE DE ESTUDIOS SUPERIORES,28PSU0135G,INSTITUTO VICTORENSE DE ESTUDIOS SUPERIORES,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
